(house)painter	kladschilder;schilder
capitein luijtenant der militie	capitain leuijtenant;capitain leytenant;capitain lieutenant;capitain lieutenant van de militie;capitain luijtenant;capitain luijtenant der militie;capitain luijtenant militair;capitain luitenant;capiteijn luijtenand;capitein lieutenant;capitein luijtenant der militair;capitein luijtenant der militia;kapitein luitenant;kapitein-luitenant
capiteinn	cap:;capetain;capetijn der militaijre;capitaijn;capitain;capitain commandant;capitain der militie;capitain miliair;capitain militair;capiteijn;capitein;capitijn;cappitain;capt:;captain;captain (military);captain der militie;captijn;kapitain;kapitijn
capitijn	cap:;capetain;capetijn der militaijre;capitaijn;capitain;capitain commandant;capitain der militie;capitain miliair;capitain militair;capiteijn;capitein;capiteinn;cappitain;capt:;captain;captain (military);captain der militie;captijn;kapitain;kapitijn
capn: der burgerij	baas van de schutterije;capitain der burgereij;capitain der burgererije;capitain der burgerij;capitain der burgerije;captain of the civic guard;kapitein der burgerij;kapitein der burgerije
cappitain	cap:;capetain;capetijn der militaijre;capitaijn;capitain;capitain commandant;capitain der militie;capitain miliair;capitain militair;capiteijn;capitein;capiteinn;capitijn;capt:;captain;captain (military);captain der militie;captijn;kapitain;kapitijn
capt:	cap:;capetain;capetijn der militaijre;capitaijn;capitain;capitain commandant;capitain der militie;capitain miliair;capitain militair;capiteijn;capitein;capiteinn;capitijn;cappitain;captain;captain (military);captain der militie;captijn;kapitain;kapitijn
captain	cap:;capetain;capetijn der militaijre;capitaijn;capitain;capitain commandant;capitain der militie;capitain miliair;capitain militair;capiteijn;capitein;capiteinn;capitijn;cappitain;capt:;captain (military);captain der militie;captijn;kapitain;kapitijn
captain (military)	cap:;capetain;capetijn der militaijre;capitaijn;capitain;capitain commandant;capitain der militie;capitain miliair;capitain militair;capiteijn;capitein;capiteinn;capitijn;cappitain;capt:;captain;captain der militie;captijn;kapitain;kapitijn
captain der militie	cap:;capetain;capetijn der militaijre;capitaijn;capitain;capitain commandant;capitain der militie;capitain miliair;capitain militair;capiteijn;capitein;capiteinn;capitijn;cappitain;capt:;captain;captain (military);captijn;kapitain;kapitijn
captain of the civic guard	baas van de schutterije;capitain der burgereij;capitain der burgererije;capitain der burgerij;capitain der burgerije;capn: der burgerij;kapitein der burgerij;kapitein der burgerije
captijn	cap:;capetain;capetijn der militaijre;capitaijn;capitain;capitain commandant;capitain der militie;capitain miliair;capitain militair;capiteijn;capitein;capiteinn;capitijn;cappitain;capt:;captain;captain (military);captain der militie;kapitain;kapitijn
carga	supercarga;supercargo;supperc:;suppercarga
cartemaker	kaartmaker;map maker;mapmaker
cartwright	waagemaaker;waagemaker;wagemaaker;wagemaker
cassanar	cassenairo;catenaar;cattenaar;cattenar;kattanar
cassenairo	cassanar;catenaar;cattenaar;cattenar;kattanar
casser	caffer;kaffer
cassier	kasier;kassier
catenaar	cassanar;cassenairo;cattenaar;cattenar;kattanar
cattenaar	cassanar;cassenairo;catenaar;cattenar;kattanar
cattenar	cassanar;cassenairo;catenaar;cattenaar;kattanar
cavalry captain	ritmeester
cepier	ciepier;cipier;siepier;sipier
chief merchant	opper koopman;oppercoopman;senior merchant
chief sailmaker	opperceijlmaaker;opperseijlmaker;opperzeilmaker;senior sail maker
chinese seaman	bootsgesel;seaman
chirugijn	chirurgeijn;chrirugijn;churugeijn;chururgijn;meester;sirurgeijn;surgeon
chirurgeijn	chirugijn;chrirugijn;churugeijn;chururgijn;meester;sirurgeijn;surgeon
chrirugijn	chirugijn;chirurgeijn;churugeijn;chururgijn;meester;sirurgeijn;surgeon
churugeijn	chirugijn;chirurgeijn;chrirugijn;chururgijn;meester;sirurgeijn;surgeon
chururgijn	chirugijn;chirurgeijn;chrirugijn;churugeijn;meester;sirurgeijn;surgeon
ciepier	cepier;cipier;siepier;sipier
cipier	cepier;ciepier;siepier;sipier
clercq	clerq;geswoore clerq van politie;geswore clerk van politie;gesworen clerq;klerk;klerq
clerq	clercq;geswoore clerq van politie;geswore clerk van politie;gesworen clerq;klerk;klerq
command:	commandaent ;commandanr;commandant;commander ;commander of the soldiers;commandt:;kommandant
commandaent 	command:;commandanr;commandant;commander ;commander of the soldiers;commandt:;kommandant
commandanr	command:;commandaent ;commandant;commander ;commander of the soldiers;commandt:;kommandant
commandant	command:;commandaent ;commandanr;commander ;commander of the soldiers;commandt:;kommandant
commander 	command:;commandaent ;commandanr;commandant;commander of the soldiers;commandt:;kommandant
commander colonel	kolonel-commandant
commander of the soldiers	command:;commandaent ;commandanr;commandant;commander ;commandt:;kommandant
commandt:	command:;commandaent ;commandanr;commandant;commander ;commander of the soldiers;kommandant
commies	coopman;koopm:;merchant
commisiart	commissiant;committeerder;gecommitteerde
commissiant	commisiart;committeerder;gecommitteerde
committeerder	commisiart;commissiant;gecommitteerde
